year,AM,PM
2017,1.055530302,1.065737098
2018,1.053205144,1.065207865
2019,1.041487489,1.051569137
2020,1.036609526,1.045422348
2021,1.029379934,1.035001102
2022,1.03151306,1.035705231
2023,1.034519539,1.043678306
2024,1.032374762,1.045015136
